# Angular number densities per z bin ("number per bin")
# i.e., the number of galaxies per sq.deg. that have zmin<z<zmax.
# Both imaging and spectroscopic weights are included.
# The dz size is 0.01.
# 
# Columns are: redshift, dNdz (sample 1), dNdz (sample 2), dNdz (sample 3), dNdz (sample 4)
1.325000000000000400e+00 2.256818181818181883e-03 2.743181818181818221e-03 6.715909090909090960e-03 2.071590909090909385e-02
1.334999999999999964e+00 0.000000000000000000e+00 7.431818181818181795e-04 2.256818181818181883e-03 1.120227272727272738e-02
1.345000000000000417e+00 0.000000000000000000e+00 1.000000000000000021e-03 1.256818181818181862e-03 8.000000000000000167e-03
1.354999999999999982e+00 0.000000000000000000e+00 2.000000000000000042e-03 3.000000000000000496e-03 8.972727272727272843e-03
1.365000000000000213e+00 0.000000000000000000e+00 7.431818181818181795e-04 4.229545454545454580e-03 9.540909090909092949e-03
1.375000000000000222e+00 7.431818181818181795e-04 0.000000000000000000e+00 1.486363636363636359e-03 5.972727272727272781e-03
1.384999999999999787e+00 7.431818181818181795e-04 2.000000000000000042e-03 1.486363636363636359e-03 6.000000000000000992e-03
1.395000000000000018e+00 0.000000000000000000e+00 7.431818181818181795e-04 1.513636363636363703e-03 3.743181818181818676e-03
1.404999999999999805e+00 7.431818181818181795e-04 0.000000000000000000e+00 1.513636363636363703e-03 3.000000000000000496e-03
1.415000000000000258e+00 5.136363636363637910e-04 1.486363636363636359e-03 1.513636363636363703e-03 3.000000000000000496e-03
1.424999999999999600e+00 7.431818181818181795e-04 7.431818181818181795e-04 7.431818181818181795e-04 3.000000000000000496e-03
1.435000000000000053e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.431818181818181795e-04 2.229545454545454539e-03
1.445000000000000062e+00 7.431818181818181795e-04 5.136363636363637910e-04 2.000000000000000042e-03 1.486363636363636359e-03
1.455000000000000071e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.464999999999999858e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.475000000000000311e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.484999999999999876e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
