# Planck lensing noise curves.
# These curves have been low-pass filtered.
#    ell           Noise       Sig+Noise
     323     6.52152e-07     7.06843e-07
     324     6.52760e-07     7.07252e-07
     325     6.53585e-07     7.07880e-07
     326     6.55044e-07     7.09144e-07
     327     6.56621e-07     7.10525e-07
     328     6.57605e-07     7.11314e-07
     329     6.59005e-07     7.12521e-07
     330     6.60475e-07     7.13800e-07
     331     6.61614e-07     7.14749e-07
     332     6.62483e-07     7.15428e-07
     333     6.62827e-07     7.15583e-07
     334     6.63595e-07     7.16163e-07
     335     6.63733e-07     7.16114e-07
     336     6.64434e-07     7.16629e-07
     337     6.65697e-07     7.17707e-07
     338     6.66760e-07     7.18586e-07
     339     6.67313e-07     7.18957e-07
     340     6.68501e-07     7.19963e-07
     341     6.69302e-07     7.20582e-07
     342     6.70038e-07     7.21138e-07
     343     6.71138e-07     7.22060e-07
     344     6.71300e-07     7.22042e-07
     345     6.72662e-07     7.23227e-07
     346     6.72358e-07     7.22747e-07
     347     6.72354e-07     7.22567e-07
     348     6.72988e-07     7.23026e-07
     349     6.73770e-07     7.23635e-07
     350     6.74404e-07     7.24095e-07
     351     6.75187e-07     7.24707e-07
     352     6.76025e-07     7.25374e-07
     353     6.77117e-07     7.26297e-07
     354     6.77814e-07     7.26823e-07
     355     6.78378e-07     7.27218e-07
     356     6.78801e-07     7.27472e-07
     357     6.79107e-07     7.27612e-07
     358     6.79442e-07     7.27781e-07
     359     6.80197e-07     7.28371e-07
     360     6.80036e-07     7.28045e-07
     361     6.79857e-07     7.27703e-07
     362     6.80230e-07     7.27912e-07
     363     6.80130e-07     7.27651e-07
     364     6.81740e-07     7.29099e-07
     365     6.81869e-07     7.29067e-07
     366     6.82741e-07     7.29779e-07
     367     6.83091e-07     7.29970e-07
     368     6.83717e-07     7.30437e-07
     369     6.84116e-07     7.30679e-07
     370     6.84003e-07     7.30409e-07
     371     6.84390e-07     7.30641e-07
     372     6.85159e-07     7.31254e-07
     373     6.84808e-07     7.30748e-07
     374     6.84760e-07     7.30548e-07
     375     6.84934e-07     7.30568e-07
     376     6.85224e-07     7.30705e-07
     377     6.85651e-07     7.30982e-07
     378     6.85355e-07     7.30535e-07
     379     6.85708e-07     7.30737e-07
     380     6.85916e-07     7.30795e-07
     381     6.86519e-07     7.31249e-07
     382     6.86518e-07     7.31101e-07
     383     6.87291e-07     7.31726e-07
     384     6.86417e-07     7.30706e-07
     385     6.86675e-07     7.30818e-07
     386     6.86760e-07     7.30759e-07
     387     6.86861e-07     7.30715e-07
     388     6.87143e-07     7.30853e-07
     389     6.87649e-07     7.31215e-07
     390     6.87628e-07     7.31051e-07
     391     6.87220e-07     7.30502e-07
     392     6.87020e-07     7.30160e-07
     393     6.87148e-07     7.30149e-07
     394     6.87567e-07     7.30428e-07
     395     6.87478e-07     7.30200e-07
     396     6.87460e-07     7.30043e-07
     397     6.87369e-07     7.29814e-07
     398     6.87769e-07     7.30075e-07
     399     6.87507e-07     7.29677e-07
     400     6.87680e-07     7.29715e-07
     401     6.87351e-07     7.29249e-07
     402     6.87324e-07     7.29087e-07
     403     6.87357e-07     7.28986e-07
     404     6.87932e-07     7.29428e-07
     405     6.87896e-07     7.29258e-07
     406     6.88024e-07     7.29254e-07
     407     6.87945e-07     7.29043e-07
     408     6.88205e-07     7.29171e-07
     409     6.87599e-07     7.28435e-07
     410     6.87861e-07     7.28567e-07
     411     6.87875e-07     7.28452e-07
     412     6.87437e-07     7.27883e-07
     413     6.87840e-07     7.28159e-07
     414     6.88075e-07     7.28265e-07
     415     6.88053e-07     7.28116e-07
     416     6.88045e-07     7.27982e-07
     417     6.88381e-07     7.28191e-07
     418     6.88124e-07     7.27808e-07
     419     6.88505e-07     7.28065e-07
     420     6.88335e-07     7.27772e-07
     421     6.89579e-07     7.28891e-07
     422     6.89847e-07     7.29035e-07
     423     6.89467e-07     7.28532e-07
     424     6.90298e-07     7.29241e-07
     425     6.90466e-07     7.29287e-07
     426     6.91004e-07     7.29705e-07
     427     6.91511e-07     7.30091e-07
     428     6.90736e-07     7.29195e-07
     429     6.91023e-07     7.29362e-07
     430     6.91555e-07     7.29775e-07
     431     6.91948e-07     7.30051e-07
     432     6.92774e-07     7.30758e-07
     433     6.92922e-07     7.30789e-07
     434     6.93348e-07     7.31099e-07
     435     6.94013e-07     7.31646e-07
     436     6.94572e-07     7.32090e-07
     437     6.94486e-07     7.31888e-07
     438     6.94951e-07     7.32238e-07
     439     6.95114e-07     7.32286e-07
     440     6.95860e-07     7.32918e-07
     441     6.95156e-07     7.32100e-07
     442     6.95573e-07     7.32404e-07
     443     6.96165e-07     7.32885e-07
     444     6.95763e-07     7.32370e-07
     445     6.95926e-07     7.32421e-07
     446     6.96197e-07     7.32582e-07
     447     6.96814e-07     7.33088e-07
     448     6.97358e-07     7.33522e-07
     449     6.98040e-07     7.34093e-07
     450     6.97831e-07     7.33777e-07
     451     6.98365e-07     7.34202e-07
     452     6.98363e-07     7.34091e-07
     453     6.98717e-07     7.34337e-07
     454     6.98623e-07     7.34136e-07
     455     6.99125e-07     7.34532e-07
     456     6.99066e-07     7.34365e-07
     457     6.99330e-07     7.34523e-07
     458     6.99841e-07     7.34929e-07
     459     6.99968e-07     7.34950e-07
     460     7.00549e-07     7.35428e-07
     461     7.01163e-07     7.35936e-07
     462     7.01604e-07     7.36273e-07
     463     7.01920e-07     7.36488e-07
     464     7.02528e-07     7.36992e-07
     465     7.03003e-07     7.37364e-07
     466     7.03294e-07     7.37553e-07
     467     7.03505e-07     7.37662e-07
     468     7.04178e-07     7.38234e-07
     469     7.03768e-07     7.37724e-07
     470     7.04514e-07     7.38370e-07
     471     7.04825e-07     7.38580e-07
     472     7.05746e-07     7.39402e-07
     473     7.06360e-07     7.39917e-07
     474     7.06644e-07     7.40102e-07
     475     7.07288e-07     7.40649e-07
     476     7.07891e-07     7.41154e-07
     477     7.08533e-07     7.41699e-07
     478     7.08737e-07     7.41805e-07
     479     7.09765e-07     7.42737e-07
     480     7.10462e-07     7.43337e-07
     481     7.11126e-07     7.43906e-07
     482     7.11863e-07     7.44547e-07
     483     7.12597e-07     7.45186e-07
     484     7.13472e-07     7.45967e-07
     485     7.13836e-07     7.46237e-07
     486     7.14680e-07     7.46988e-07
     487     7.15292e-07     7.47506e-07
     488     7.16056e-07     7.48177e-07
     489     7.17053e-07     7.49081e-07
     490     7.17535e-07     7.49471e-07
     491     7.18424e-07     7.50268e-07
     492     7.18898e-07     7.50651e-07
     493     7.20165e-07     7.51827e-07
     494     7.21088e-07     7.52659e-07
     495     7.22348e-07     7.53829e-07
     496     7.23990e-07     7.55381e-07
     497     7.25074e-07     7.56376e-07
     498     7.26338e-07     7.57550e-07
     499     7.26906e-07     7.58029e-07
     500     7.27506e-07     7.58541e-07
     501     7.28661e-07     7.59608e-07
     502     7.29114e-07     7.59973e-07
     503     7.30297e-07     7.61069e-07
     504     7.31161e-07     7.61845e-07
     505     7.32620e-07     7.63218e-07
     506     7.33278e-07     7.63789e-07
     507     7.34119e-07     7.64545e-07
     508     7.35569e-07     7.65909e-07
     509     7.36562e-07     7.66817e-07
     510     7.38028e-07     7.68198e-07
     511     7.39252e-07     7.69338e-07
     512     7.40124e-07     7.70127e-07
     513     7.41021e-07     7.70940e-07
     514     7.42318e-07     7.72152e-07
     515     7.42957e-07     7.72709e-07
     516     7.43710e-07     7.73380e-07
     517     7.44699e-07     7.74285e-07
     518     7.45259e-07     7.74763e-07
     519     7.45905e-07     7.75328e-07
     520     7.46839e-07     7.76180e-07
     521     7.48070e-07     7.77330e-07
     522     7.49961e-07     7.79141e-07
     523     7.51016e-07     7.80115e-07
     524     7.51703e-07     7.80722e-07
     525     7.52660e-07     7.81600e-07
     526     7.54157e-07     7.83017e-07
     527     7.55695e-07     7.84476e-07
     528     7.56305e-07     7.85008e-07
     529     7.57794e-07     7.86418e-07
     530     7.58648e-07     7.87193e-07
     531     7.59983e-07     7.88452e-07
     532     7.60823e-07     7.89213e-07
     533     7.61432e-07     7.89745e-07
     534     7.62646e-07     7.90882e-07
     535     7.63606e-07     7.91766e-07
     536     7.64832e-07     7.92916e-07
     537     7.66384e-07     7.94392e-07
     538     7.67978e-07     7.95910e-07
     539     7.69984e-07     7.97841e-07
     540     7.71658e-07     7.99439e-07
     541     7.72920e-07     8.00626e-07
     542     7.73735e-07     8.01368e-07
     543     7.74407e-07     8.01965e-07
     544     7.75762e-07     8.03247e-07
     545     7.76745e-07     8.04156e-07
     546     7.77717e-07     8.05054e-07
     547     7.78685e-07     8.05949e-07
     548     7.80448e-07     8.07640e-07
     549     7.81405e-07     8.08525e-07
     550     7.82571e-07     8.09619e-07
     551     7.83303e-07     8.10278e-07
     552     7.84954e-07     8.11859e-07
     553     7.86778e-07     8.13611e-07
     554     7.87712e-07     8.14473e-07
     555     7.89494e-07     8.16185e-07
     556     7.90552e-07     8.17172e-07
     557     7.91100e-07     8.17651e-07
     558     7.93038e-07     8.19518e-07
     559     7.93969e-07     8.20380e-07
     560     7.95194e-07     8.21536e-07
     561     7.96112e-07     8.22385e-07
     562     7.97642e-07     8.23846e-07
     563     7.99215e-07     8.25351e-07
     564     8.00786e-07     8.26853e-07
     565     8.02435e-07     8.28434e-07
     566     8.04379e-07     8.30311e-07
     567     8.06132e-07     8.31996e-07
     568     8.07076e-07     8.32873e-07
     569     8.09041e-07     8.34771e-07
     570     8.10749e-07     8.36413e-07
     571     8.12292e-07     8.37889e-07
     572     8.14180e-07     8.39711e-07
     573     8.15687e-07     8.41153e-07
     574     8.17012e-07     8.42413e-07
     575     8.17813e-07     8.43147e-07
     576     8.19355e-07     8.44625e-07
     577     8.21312e-07     8.46517e-07
     578     8.22589e-07     8.47729e-07
     579     8.23912e-07     8.48988e-07
     580     8.25589e-07     8.50601e-07
     581     8.26987e-07     8.51936e-07
     582     8.28608e-07     8.53493e-07
     583     8.30489e-07     8.55310e-07
     584     8.31836e-07     8.56595e-07
     585     8.33292e-07     8.57988e-07
     586     8.34640e-07     8.59273e-07
     587     8.36081e-07     8.60653e-07
     588     8.37443e-07     8.61952e-07
     589     8.38569e-07     8.63016e-07
     590     8.40227e-07     8.64613e-07
     591     8.41753e-07     8.66077e-07
     592     8.42941e-07     8.67205e-07
     593     8.43948e-07     8.68152e-07
     594     8.45494e-07     8.69636e-07
     595     8.46982e-07     8.71065e-07
     596     8.48840e-07     8.72863e-07
     597     8.50219e-07     8.74182e-07
     598     8.51552e-07     8.75456e-07
     599     8.53202e-07     8.77046e-07
     600     8.53988e-07     8.77772e-07
     601     8.55964e-07     8.79689e-07
     602     8.56930e-07     8.80598e-07
     603     8.57605e-07     8.81214e-07
     604     8.59271e-07     8.82822e-07
     605     8.60863e-07     8.84356e-07
     606     8.62213e-07     8.85648e-07
     607     8.63623e-07     8.87001e-07
     608     8.65032e-07     8.88352e-07
     609     8.66506e-07     8.89769e-07
     610     8.68074e-07     8.91281e-07
     611     8.69434e-07     8.92584e-07
     612     8.70854e-07     8.93947e-07
     613     8.72017e-07     8.95053e-07
     614     8.73606e-07     8.96588e-07
     615     8.75426e-07     8.98353e-07
     616     8.76331e-07     8.99201e-07
     617     8.77609e-07     9.00424e-07
     618     8.79007e-07     9.01767e-07
     619     8.80563e-07     9.03268e-07
     620     8.81735e-07     9.04387e-07
     621     8.82815e-07     9.05411e-07
     622     8.84082e-07     9.06625e-07
     623     8.85640e-07     9.08128e-07
     624     8.86916e-07     9.09350e-07
     625     8.88214e-07     9.10595e-07
     626     8.89509e-07     9.11837e-07
     627     8.90659e-07     9.12934e-07
     628     8.91945e-07     9.14167e-07
     629     8.93286e-07     9.15455e-07
     630     8.93708e-07     9.15824e-07
     631     8.95107e-07     9.17172e-07
     632     8.96061e-07     9.18074e-07
     633     8.97500e-07     9.19460e-07
     634     8.98292e-07     9.20201e-07
     635     8.99156e-07     9.21013e-07
     636     9.00235e-07     9.22040e-07
     637     9.01060e-07     9.22814e-07
     638     9.02484e-07     9.24188e-07
     639     9.03161e-07     9.24814e-07
     640     9.04326e-07     9.25928e-07
     641     9.05362e-07     9.26914e-07
     642     9.06857e-07     9.28359e-07
     643     9.08066e-07     9.29519e-07
     644     9.09199e-07     9.30601e-07
     645     9.10106e-07     9.31458e-07
     646     9.11168e-07     9.32471e-07
     647     9.12317e-07     9.33571e-07
     648     9.13540e-07     9.34746e-07
     649     9.14225e-07     9.35380e-07
     650     9.15941e-07     9.37048e-07
     651     9.16154e-07     9.37213e-07
     652     9.17391e-07     9.38401e-07
     653     9.18551e-07     9.39513e-07
     654     9.20018e-07     9.40933e-07
     655     9.21177e-07     9.42043e-07
     656     9.22117e-07     9.42935e-07
     657     9.23159e-07     9.43930e-07
     658     9.23576e-07     9.44300e-07
     659     9.24531e-07     9.45207e-07
     660     9.25943e-07     9.46572e-07
     661     9.26887e-07     9.47469e-07
     662     9.27447e-07     9.47983e-07
     663     9.28266e-07     9.48755e-07
     664     9.28702e-07     9.49146e-07
     665     9.29500e-07     9.49898e-07
     666     9.30278e-07     9.50629e-07
     667     9.30773e-07     9.51078e-07
