# Angular number densities per z bin ("number per bin")
# i.e., the number of galaxies per sq.deg. that have zmin<z<zmax.
# Both imaging and spectroscopic weights are included.
# The dz size is 0.01.
# 
# Columns are: redshift, dNdz (sample 1), dNdz (sample 2), dNdz (sample 3), dNdz (sample 4)
5.550000000000000488e-01 1.887000000000000011e+00 5.801000000000000156e+00 6.199999999999999956e-02 2.999999999999999889e-02
5.649999999999999467e-01 1.183999999999999941e+00 6.708999999999999631e+00 8.000000000000000167e-02 1.099999999999999936e-02
5.749999999999999556e-01 7.459999999999999964e-01 7.330000000000000071e+00 1.239999999999999991e-01 3.200000000000000067e-02
5.849999999999999645e-01 4.600000000000000200e-01 7.641000000000000014e+00 1.409999999999999865e-01 2.800000000000000058e-02
5.949999999999999734e-01 3.099999999999999978e-01 7.796000000000000263e+00 1.729999999999999871e-01 2.400000000000000050e-02
6.049999999999999822e-01 1.809999999999999942e-01 8.577999999999999403e+00 2.310000000000000109e-01 3.099999999999999978e-02
6.149999999999999911e-01 1.489999999999999936e-01 8.426999999999999602e+00 3.150000000000000022e-01 3.799999999999999906e-02
6.250000000000000000e-01 1.059999999999999970e-01 7.775000000000000355e+00 4.299999999999999933e-01 3.300000000000000155e-02
6.350000000000000089e-01 6.300000000000000044e-02 7.866999999999999993e+00 6.350000000000000089e-01 3.799999999999999906e-02
6.450000000000000178e-01 6.500000000000000222e-02 7.868999999999999773e+00 7.880000000000000338e-01 5.399999999999999939e-02
6.550000000000000266e-01 5.099999999999999672e-02 8.023999999999999133e+00 1.100999999999999979e+00 6.199999999999999956e-02
6.650000000000000355e-01 3.599999999999999728e-02 7.940000000000000391e+00 1.407000000000000028e+00 6.700000000000000400e-02
6.750000000000000444e-01 3.099999999999999978e-02 7.200999999999999623e+00 1.778000000000000025e+00 9.099999999999999756e-02
6.850000000000000533e-01 2.000000000000000042e-02 6.548000000000000043e+00 2.406000000000000139e+00 1.069999999999999979e-01
6.949999999999999512e-01 1.499999999999999944e-02 5.990999999999999659e+00 3.295999999999999819e+00 1.729999999999999871e-01
7.049999999999999600e-01 1.099999999999999936e-02 5.368999999999999773e+00 4.480000000000000426e+00 1.980000000000000093e-01
7.149999999999999689e-01 8.000000000000000167e-03 4.503999999999999559e+00 5.383000000000000007e+00 2.700000000000000178e-01
